2.647	7.191	2.885	1.466	1.461	6.888	2	10
2.389	6.687	2.565	1.511	1.4	6.396	2	10
2.408	6.595	2.519	1.557	1.351	6.323	2	10
2.824	7.191	2.885	1.511	1.37	6.979	2	10
2.534	6.733	2.611	1.466	1.338	6.505	2	10
2.568	6.504	2.473	1.603	1.232	6.341	2	10
3.688	8.427	3.481	1.74	1.44	8.181	2	10
2.278	6	2.244	1.511	1.182	5.849	2	10
1.951	6.687	2.794	1.099	1.714	6.432	2	10
1.957	5.908	2.382	1.237	1.334	5.721	2	10
1.915	5.954	2.382	1.191	1.384	5.758	2	10
1.94	5.817	2.29	1.282	1.304	5.685	2	10
1.894	5.771	2.198	1.282	1.315	5.521	2	10
2.589	7.191	2.977	1.42	1.494	6.96	2	10
2.454	6.458	2.427	1.557	1.271	6.213	3	10
2.683	6.962	2.702	1.282	1.351	6.778	3	2
2.295	6.321	2.427	1.374	1.302	6.159	2	2
2.683	7.008	2.656	1.374	1.369	6.742	4	2
2.926	7.282	2.611	1.42	1.355	6.96	2	2
3.098	7.374	2.748	1.511	1.313	7.124	3	2
2.37	6.046	2.153	1.328	1.153	5.885	3	2
2.922	7.008	2.748	1.42	1.257	6.888	2	2
2.509	6.824	2.611	1.328	1.388	6.596	3	2
2.924	6.962	2.565	1.603	1.24	6.76	3	2
3.201	7.237	2.702	1.511	1.224	7.124	2	2
3.319	7.328	2.702	1.603	1.21	7.143	2	2
3.157	7.282	2.656	1.511	1.256	7.015	4	2
2.981	7.282	2.702	1.466	1.331	7.033	2	2
3.461	7.786	2.84	1.74	1.31	7.562	2	2
2.568	6.504	2.382	1.374	1.232	6.304	3	2
2.727	7.191	2.794	1.42	1.418	6.96	3	2
3.121	7.649	2.885	1.511	1.402	7.38	2	2
3.589	7.649	2.702	1.832	1.219	7.452	2	2
3.17	7.008	2.473	1.649	1.159	6.906	2	2
3.021	7.557	2.977	1.42	1.414	7.27	3	2
0.749	3.893	1.557	0.687	1.514	3.772	2	4
0.81	3.985	1.649	0.733	1.467	3.899	2	4
0.743	3.847	1.511	0.687	1.491	3.699	2	4
1.064	4.718	1.969	0.733	1.565	4.646	2	4
0.814	4.076	1.649	0.733	1.527	3.954	2	4
0.896	4.168	1.649	0.733	1.45	4.009	2	4
0.803	4.122	1.649	0.687	1.582	3.899	3	4
0.548	3.252	1.328	0.55	1.445	3.134	2	4
0.841	4.214	1.695	0.687	1.579	4.027	3	4
0.801	4.26	1.74	0.595	1.693	4.082	2	4
0.944	4.351	1.74	0.733	1.5	4.173	2	4
0.913	4.489	1.832	0.641	1.651	4.245	3	4
0.799	4.031	1.603	0.641	1.52	3.845	2	4
0.732	3.893	1.649	0.55	1.548	3.826	2	4
0.946	4.26	1.695	0.733	1.434	4.118	2	4
0.787	3.939	1.557	0.687	1.475	3.79	2	4
0.902	4.489	1.832	0.641	1.67	4.3	2	4
0.667	3.71	1.42	0.55	1.543	3.498	6	4
0.827	4.122	1.695	0.687	1.538	4.027	2	4
0.778	3.939	1.649	0.641	1.491	3.881	2	4
1.366	4.901	1.878	1.008	1.315	4.737	4	5
1.361	4.763	1.832	1.053	1.246	4.646	2	5
1.2	4.672	1.832	0.916	1.36	4.446	3	5
1.236	4.718	1.832	0.916	1.347	4.555	2	5
1.601	5.221	2.015	1.008	1.274	5.084	2	5
1.714	5.267	1.924	1.145	1.211	5.065	2	5
1.512	5.084	1.969	0.962	1.278	4.956	2	5
1.437	5.038	1.924	1.008	1.321	4.829	2	5
1.181	4.809	1.924	0.824	1.465	4.628	2	5
1.426	4.901	1.878	1.008	1.259	4.737	2	5
1.275	4.901	1.878	0.962	1.408	4.665	5	5
1.406	4.947	1.878	0.962	1.302	4.774	2	5
1.466	5.221	2.107	0.962	1.391	5.084	2	5
1.229	4.489	1.603	1.053	1.226	4.337	2	5
1.777	5.405	2.015	1.145	1.23	5.211	2	5
1.552	5.176	1.969	1.099	1.291	4.993	2	5
1.632	5.221	1.969	1.099	1.249	5.084	2	5
